Player,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Dejan Jakovic,-0.03,0.02,0.10,-0.04,-0.05,0.00,0.01
Kevin Kratz,0.00,0.00,-0.01,0.01,0.00,0.00,0.00
Benny Feilhaber,0.14,-0.03,0.45,0.03,-0.92,0.33,0.00
Chris Duvall,0.00,0.01,0.05,-0.04,-0.02,0.00,0.00
Gilbert Fuentes,0.01,-0.01,0.01,0.00,0.00,0.00,0.00
Danilo Silva,0.06,0.01,-0.06,-0.03,0.07,-0.05,0.00
Georges Mukumbilwa,0.03,0.00,-0.02,-0.01,-0.01,0.00,-0.01
Francis Atuahene,-0.05,0.00,-0.02,0.00,0.03,0.03,-0.01
Scott Sutter,-0.13,0.09,0.21,0.09,-0.13,-0.13,-0.01
Emmanuel Boateng,-0.28,-0.08,-0.22,-0.07,0.48,0.16,-0.01
Justin Rennicks,-0.10,-0.01,0.05,-0.06,0.16,-0.04,-0.01
Luis Arriaga,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01
Henry Wingo,0.25,-0.03,0.08,-0.07,-0.19,-0.06,-0.01
Robin Lod,-0.22,-0.07,0.03,-0.27,0.20,0.31,-0.01
Francois Affolter,0.01,0.02,-0.02,0.00,-0.02,0.00,-0.01
Héctor Jiménez,0.00,-0.05,-0.25,0.47,-0.14,-0.05,-0.02
Siad Haji,0.09,0.00,-0.04,-0.10,0.03,-0.01,-0.02
Kevin Partida,0.00,0.00,0.00,-0.01,-0.01,0.00,-0.02
Michee Ngalina,0.00,0.00,-0.01,-0.01,0.00,0.00,-0.03
Abu Danladi,-0.30,-0.14,0.07,-0.07,0.21,0.20,-0.03
Griffin Dorsey,0.00,0.00,-0.01,-0.02,0.00,0.00,-0.03
Justin Haak,0.00,0.00,-0.01,0.00,-0.01,0.00,-0.03
Daniel Kinumbe,-0.02,0.00,0.04,-0.04,-0.01,0.00,-0.03
Carlos Ascues,-0.55,0.02,0.46,-0.57,0.38,0.22,-0.03
Franco Escobar,-0.06,-0.17,0.65,-0.81,0.32,0.03,-0.03
Andrés Ríos,0.02,0.10,-0.10,-0.13,0.02,0.05,-0.04
Alejandro Pozuelo,0.21,-0.24,-0.29,1.85,-1.45,-0.11,-0.04
Dairon Asprilla,0.39,-0.06,-0.08,-0.02,-0.04,-0.23,-0.04
Rodney Wallace,-0.03,0.00,0.01,-0.02,0.01,0.00,-0.04
Brian Wright,-0.01,0.00,-0.02,0.00,-0.01,0.00,-0.04
Nazmi Albadawi,0.00,0.00,-0.02,-0.03,0.00,0.00,-0.04
Luis Caicedo,-0.02,-0.01,0.83,-0.24,-0.41,-0.19,-0.05
Magnus Eriksson,1.27,0.05,-0.64,0.25,-0.91,-0.07,-0.05
Shandon Hopeau,0.03,0.01,0.02,-0.02,-0.08,-0.02,-0.05
Niko Hansen,-0.24,-0.03,0.36,-0.17,0.07,-0.04,-0.05
Benji Michel,-0.35,-0.04,-0.20,-0.51,0.81,0.25,-0.05
Olivier Mbaizo,0.01,0.01,-0.03,-0.07,0.03,0.01,-0.05
Felipe Hernandez,-0.02,0.01,0.04,-0.03,-0.02,-0.03,-0.05
Jaylin Lindsey,0.00,0.00,0.01,-0.05,-0.01,0.00,-0.05
John Nelson,0.09,0.03,0.03,-0.14,-0.05,-0.01,-0.06
Derrick Jones,0.00,0.00,-0.04,0.01,-0.03,-0.01,-0.06
Jonathan Lewis,0.76,-0.10,-0.14,0.01,-0.68,0.10,-0.06
Rod Fanni,0.12,0.03,-0.09,-0.06,-0.06,0.00,-0.06
Hassani Dotson,0.53,0.01,0.18,-0.40,-0.43,0.05,-0.06
Sebastian Anderson,-0.10,-0.28,-0.18,0.01,0.40,0.09,-0.06
Nick Lima,0.70,0.11,-0.01,-0.89,0.02,0.02,-0.06
Juninho Pereira,0.00,0.00,-0.02,-0.04,-0.01,0.00,-0.07
Emerson Hyndman,0.34,0.21,0.06,-0.23,-0.36,-0.08,-0.07
Grant Lillard,0.01,0.02,0.00,-0.03,-0.05,-0.03,-0.07
Jorge Villafaña,0.16,0.11,0.00,-0.19,-0.15,0.01,-0.07
Ismael Tajouri-Shradi,0.55,0.01,-0.20,0.26,-0.45,-0.24,-0.07
Eryk Williamson,-0.07,-0.01,0.02,-0.05,-0.05,0.09,-0.08
Danilo Acosta,-0.15,0.05,0.21,-0.19,0.02,-0.02,-0.08
Johan Blomberg,0.00,-0.01,0.00,-0.02,-0.05,0.00,-0.08
Brendan McDonough,0.01,0.01,-0.05,-0.03,-0.02,0.00,-0.09
Kendall Waston,-0.13,-0.41,0.15,-0.15,0.44,0.00,-0.09
Tommy McCabe,-0.02,0.01,0.10,-0.13,-0.05,-0.01,-0.10
Gedion Zelalem,0.03,-0.02,-0.12,0.10,-0.06,-0.03,-0.10
Collin Martin,0.09,-0.01,-0.17,0.05,-0.05,-0.02,-0.11
Ricardo Pepi,-0.51,0.00,-0.03,0.15,0.26,0.02,-0.11
Greg Garza,-0.11,0.10,-0.08,0.04,-0.04,-0.01,-0.11
Fabinho,-0.02,0.00,0.00,-0.04,-0.01,-0.03,-0.11
Niki Jackson,-0.01,-0.01,-0.01,-0.01,-0.07,-0.01,-0.12
Diego Palacios,0.02,0.00,0.00,-0.14,0.00,0.00,-0.12
Erik Holt,0.07,-0.01,0.02,-0.11,-0.09,0.00,-0.12
Marcus Epps,0.06,0.02,-0.06,-0.08,-0.03,-0.03,-0.12
Lawrence Olum,-0.07,-0.03,-0.13,-0.02,0.08,0.04,-0.13
Alex Roldan,-0.11,0.00,0.17,0.00,-0.17,-0.01,-0.13
Brian White,-0.75,0.08,-0.12,-0.70,1.19,0.17,-0.13
Foster Langsdorf,-0.04,0.00,-0.01,-0.01,-0.06,-0.01,-0.13
Tim Parker,-0.19,0.23,-0.80,0.49,0.16,-0.03,-0.14
Marco Farfan,-0.03,-0.02,0.06,-0.11,-0.03,0.00,-0.14
Modou Jadama,-0.03,-0.02,-0.06,-0.01,-0.02,0.00,-0.14
Thomás Chacón,-0.11,-0.02,-0.06,-0.03,0.05,0.02,-0.14
Osvaldo Alonso,0.41,-0.24,-0.38,0.62,-0.39,-0.15,-0.14
Dániel Sallói,-1.09,0.09,-0.37,-0.21,0.86,0.58,-0.14
Andreas Ivan,-0.37,-0.06,0.38,0.01,-0.15,0.04,-0.15
Michael Boxall,0.01,0.30,-0.22,-0.30,-0.06,0.12,-0.15
Connor Lade,0.06,-0.01,0.12,-0.18,-0.14,0.01,-0.15
Douglas Martínez,-0.04,-0.01,0.00,-0.04,-0.03,-0.04,-0.16
Jalil Anibaba,-0.19,0.17,0.39,-0.25,-0.20,-0.08,-0.16
Kevin Garcia,0.04,0.02,0.22,-0.36,-0.09,0.02,-0.16
Roger Espinoza,-0.11,-0.01,-0.19,0.05,0.12,-0.02,-0.16
Carter Manley,-0.06,0.01,-0.05,-0.04,-0.02,0.00,-0.16
Reto Ziegler,0.21,0.17,-1.12,0.89,-0.47,0.15,-0.17
Andrew Carleton,-0.13,-0.01,-0.03,-0.01,0.03,-0.02,-0.17
Oriol Rosell,0.01,-0.02,0.27,-0.04,-0.34,-0.03,-0.17
Griffin Yow,-0.04,-0.01,-0.02,-0.05,-0.04,-0.02,-0.17
Laurent Ciman,0.23,0.13,-0.72,0.36,-0.22,0.04,-0.18
Shaft Brewer,-0.02,0.00,-0.08,-0.04,-0.02,-0.02,-0.18
Alfonso Ocampo-Chavez,0.03,-0.01,-0.02,-0.06,-0.10,-0.02,-0.18
Florentin Pogba,0.00,-0.46,0.19,0.14,-0.05,-0.02,-0.18
Justin Morrow,0.19,0.15,-0.09,-0.69,0.30,-0.04,-0.18
Saad Abdul-Salaam,0.02,0.13,0.00,-0.30,-0.01,-0.03,-0.19
Akeem Ward,-0.02,-0.03,-0.12,-0.02,-0.01,0.00,-0.19
Handwalla Bwana,0.37,-0.03,-0.07,-0.16,-0.34,0.03,-0.19
Nouhou Tolo,0.01,-0.31,0.45,-0.37,-0.10,0.12,-0.20
