Player,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Oriol Rosell,0.00,0.00,0.02,0.00,-0.02,0.00,-0.01
Sebastian Lletget,-0.02,0.01,0.00,-0.03,0.02,0.01,-0.01
John Nelson,0.02,0.01,0.01,-0.02,-0.01,0.00,-0.01
Andrés Ríos,0.01,0.03,-0.03,-0.04,0.01,0.02,-0.01
Greg Garza,-0.01,0.01,-0.01,0.00,0.00,0.00,-0.01
Danilo Acosta,-0.02,0.01,0.03,-0.03,0.00,0.00,-0.01
Jackson Yueill,0.01,0.00,-0.02,0.00,0.00,0.00,-0.01
Aaron Long,-0.01,0.00,0.00,-0.01,0.01,0.00,-0.01
Jordan Harvey,-0.02,0.01,-0.01,0.01,0.01,0.00,-0.01
Robin Jansson,0.00,0.01,0.00,0.00,-0.02,0.00,-0.01
Laurent Ciman,0.02,0.01,-0.05,0.03,-0.02,0.00,-0.01
Roger Espinoza,-0.01,0.00,-0.02,0.00,0.01,0.00,-0.01
Luciano Acosta,-0.02,0.01,0.02,0.02,-0.03,-0.01,-0.01
Niko Hansen,-0.06,-0.01,0.09,-0.04,0.02,-0.01,-0.01
Albert Rusnák,0.07,-0.01,-0.02,0.00,-0.06,0.00,-0.01
Francois Affolter,0.01,0.02,-0.02,0.00,-0.02,0.00,-0.01
Roland Lamah,0.00,0.03,-0.01,-0.01,-0.03,-0.01,-0.01
Saad Abdul-Salaam,0.00,0.01,0.00,-0.02,0.00,0.00,-0.02
Kemar Lawrence,-0.02,-0.01,0.03,0.00,-0.02,0.00,-0.02
Connor Lade,0.01,0.00,0.01,-0.02,-0.01,0.00,-0.02
Jonathan Osorio,0.00,-0.02,-0.01,-0.03,0.02,0.01,-0.02
Kacper Przybylko,0.00,-0.01,0.01,-0.06,0.03,0.02,-0.02
Maxime Chanot,0.00,-0.01,0.01,0.00,-0.01,0.00,-0.02
Kevin Garcia,0.00,0.00,0.02,-0.04,-0.01,0.00,-0.02
Doneil Henry,0.00,0.00,-0.01,-0.01,0.01,0.00,-0.02
Derek Cornelius,-0.01,-0.02,0.04,-0.03,0.00,0.00,-0.02
Nick DeLeon,0.02,-0.03,0.00,-0.03,0.03,0.00,-0.02
Micheal Azira,-0.03,0.00,0.04,-0.01,-0.01,0.00,-0.02
Jørgen Skjelvik,-0.02,-0.02,0.01,-0.01,0.02,0.00,-0.02
Reggie Cannon,0.01,-0.01,0.02,-0.04,0.00,0.00,-0.02
Sebastian Anderson,-0.03,-0.08,-0.05,0.00,0.12,0.03,-0.02
Bryan Acosta,0.01,-0.01,0.00,-0.01,-0.01,-0.01,-0.02
