Player,Team,Season,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,Assists,xA,A-xA,xG+xA,xPA through goals,xPA through shots
Krisztián Németh,SKC,2019,1717,52,18,8,9.67,-1.59,-1.67,21,2,2.34,-0.34,12.02,4.27,4.47
Valentín Castellanos,NYC,2019,2256,80,31,11,8.88,0.07,2.12,32,4,3.02,0.98,11.90,9.15,6.83
Jamiro Monteiro,PHI,2019,2249,50,21,4,6.73,-0.69,-2.73,35,5,4.83,0.17,11.56,2.39,4.23
Adama Diomande,LAFC,2019,1575,58,18,8,8.75,-2.23,-0.75,18,5,2.75,2.25,11.50,5.43,4.68
Nicolás Gaitán,CHI,2019,2160,34,13,4,5.73,-1.51,-1.73,62,11,5.72,5.28,11.45,1.53,3.21
Alexandru Mitrita,NYC,2019,2326,94,34,12,7.93,1.25,4.07,29,2,3.31,-1.31,11.24,6.74,5.25
Angelo Rodríguez,MIN,2019,1901,55,20,5,9.26,-1.99,-4.26,18,1,1.72,-0.72,10.98,3.04,6.17
Jesús Ferreira,FCD,2019,2653,59,22,8,8.55,-0.47,-0.55,32,3,2.37,0.63,10.92,3.82,4.31
Fredy Montero,VAN,2019,2283,60,24,8,8.23,-0.56,-0.23,31,2,2.67,-0.67,10.89,7.34,7.19
Gerso,SKC,2019,1895,40,15,2,5.67,-1.68,-3.67,28,6,5.17,0.83,10.85,0.54,2.92
Andre Shinyashiki,COL,2019,1858,51,19,7,7.03,1.81,-0.03,24,2,3.29,-1.29,10.32,4.56,4.86
Fafa Picault,PHI,2019,2035,53,23,4,7.08,-1.05,-3.08,19,4,3.09,0.91,10.17,1.18,4.51
Nicolás Mezquida,COL,2019,1604,66,27,4,5.33,0.01,-1.33,33,3,4.56,-1.56,9.89,5.36,4.49
Mark-Anthony Kaye,LAFC,2019,2729,36,13,4,3.03,0.75,0.97,50,7,6.83,0.17,9.86,2.39,1.71
Paul Arriola,DCU,2019,2648,60,23,6,6.09,0.16,-0.09,40,2,3.71,-1.71,9.80,3.42,3.51
Tesho Akindele,ORL,2019,2066,42,21,10,8.16,0.01,1.84,27,1,1.64,-0.64,9.80,5.17,5.11
Diego Rubio,COL,2019,2202,49,15,11,6.75,0.93,4.25,33,4,3.02,0.98,9.77,6.11,3.67
Teal Bunbury,NER,2019,2391,62,21,6,7.64,-1.54,-1.64,26,1,2.11,-1.11,9.75,4.31,5.29
Damir Kreilach,RSL,2019,2874,59,15,6,6.16,-0.66,-0.16,32,3,3.45,-0.45,9.61,3.42,3.92
Marco Fabián,PHI,2019,1372,65,21,7,7.30,-1.10,-0.30,29,1,2.27,-1.27,9.57,2.70,4.41
Emmanuel Ledesma,CIN,2019,1939,49,12,6,5.77,-0.44,0.23,36,4,3.66,0.34,9.42,1.99,2.82
Ethan Finlay,MIN,2019,2108,36,11,7,6.85,-1.70,0.15,15,2,2.56,-0.56,9.40,5.41,5.13
Alejandro Romero Gamarra,NYRB,2019,2103,36,13,5,3.21,0.56,1.79,52,4,6.11,-2.11,9.32,3.87,2.06
Dániel Sallói,SKC,2019,1704,50,16,1,7.25,-3.19,-6.25,18,1,1.95,-0.95,9.20,0.75,2.88
Shea Salinas,SJE,2019,1514,21,9,6,4.40,0.67,1.61,38,3,4.76,-1.76,9.16,2.13,2.01
Dominique Badji,FCD,2019,2190,41,20,6,7.17,-0.95,-1.17,21,3,1.71,1.29,8.88,2.20,3.19
